,,Overall NHL Stats,,,,,,,,,Time on Ice,,,,Goals,,,,,Assists,,,,,Points,,,,,,per 60 All Situations,,,per 60 Even-Strength,,,per 60 Power-Play,,,per Game,,,Shots,,Defensive,,Faceoffs,,
Rk,Name,Team,Age,Pos,GP,G,A,P,PIM,+/-,TOI,ES,PP,SH,ESG,PPG,SHG,GWG,OTG,ESA,PPA,SHA,GWA,OTA,ESP,PPP,SHP,GWP,OTP,PPP%,G/60,A/60,P/60,ESG/60,ESA/60,ESP/60,PPG/60,PPA/60,PPP/60,G/GP,A/GP,P/GP,SHOTS,SH%,HITS,BS,FOW,FOL,FO%
271,Sam Gagner,DET,32,F,81,13,18,31,32,-4,13:37,10:36,0:38,2:21,12,0,1,0,0,17,1,0,0,0,29,1,1,0,0,3.2%,0.707,0.979,1.686,0.837,1.186,2.024,0,1.148,1.148,0.16,0.222,0.383,132,9.9%,21,25,142,162,46.71%
272,Denis Guryanov,DAL,24,F,73,11,20,31,16,2,14:11,12:12,1:58,0:00,7,4,0,2,1,17,3,0,2,0,24,7,0,4,1,22.6%,0.637,1.159,1.796,0.471,1.144,1.615,1.669,1.252,2.921,0.151,0.274,0.425,144,7.6%,67,32,0,0,0.00%
273,Michael Matheson,PIT,27,D,74,11,20,31,33,12,18:47,17:50,0:42,0:14,11,0,0,5,0,18,2,0,3,0,29,2,0,8,0,6.5%,0.474,0.863,1.337,0.5,0.818,1.317,0,2.284,2.284,0.149,0.27,0.419,140,7.9%,97,81,0,0,0.00%
274,Kevin Hayes,PHI,29,F,48,10,21,31,26,-20,17:55,14:18,2:42,0:54,8,2,0,1,0,18,2,1,4,1,26,4,1,5,1,12.9%,0.697,1.465,2.162,0.699,1.572,2.271,0.923,0.923,1.846,0.208,0.438,0.646,126,7.9%,36,12,260,347,42.83%
275,Oliver Kylington,CGY,24,D,73,9,22,31,14,34,18:09,17:00,1:03,0:05,8,1,0,2,0,20,2,0,3,0,28,3,0,5,0,9.7%,0.407,0.996,1.403,0.387,0.966,1.353,0.775,1.551,2.326,0.123,0.301,0.425,138,6.5%,40,79,0,0,0.00%
276,Ivan Provorov,PHI,24,D,79,9,22,31,34,-20,24:53,19:59,2:14,2:40,8,1,0,1,1,14,6,2,4,2,22,7,2,5,3,22.6%,0.275,0.671,0.946,0.304,0.532,0.836,0.339,2.036,2.376,0.114,0.278,0.392,170,5.3%,74,172,0,0,0.00%
277,Drew Doughty,LAK,32,D,39,7,24,31,30,4,25:44,20:35,3:08,2:00,3,4,0,1,0,15,9,0,4,0,18,13,0,5,0,41.9%,0.418,1.434,1.853,0.224,1.12,1.344,1.961,4.413,6.374,0.179,0.615,0.795,99,7.1%,60,53,0,0,0.00%
278,Travis Sanheim,PHI,25,D,80,7,24,31,34,9,22:58,20:08,0:40,2:08,7,0,0,1,1,24,0,0,3,0,31,0,0,4,1,0.0%,0.229,0.784,1.012,0.261,0.893,1.154,0,0,0,0.088,0.3,0.388,123,5.7%,64,142,0,0,0.00%
279,Nicklas Bäckström,WSH,34,F,47,6,25,31,12,-8,17:29,13:42,3:40,0:06,5,1,0,1,1,12,13,0,4,0,17,14,0,5,1,45.2%,0.438,1.825,2.263,0.466,1.117,1.583,0.348,4.52,4.867,0.128,0.532,0.66,68,8.8%,16,16,301,348,46.38%
280,Mattias Ekholm,NSH,31,D,76,6,25,31,44,14,23:28,18:40,1:32,3:15,6,0,0,1,0,20,4,1,6,2,26,4,1,7,2,12.9%,0.202,0.841,1.042,0.254,0.846,1.099,0,2.043,2.043,0.079,0.329,0.408,145,4.1%,79,96,0,0,0.00%
281,Robby Fabbri,DET,25,F,56,17,13,30,35,-23,17:19,14:33,2:45,0:00,11,6,0,1,0,11,2,0,0,0,22,8,0,1,0,26.7%,1.051,0.804,1.855,0.81,0.81,1.62,2.326,0.775,3.102,0.304,0.232,0.536,123,13.8%,86,19,54,55,49.54%
282,Vladislav Namestnikov,DAL,29,F,75,16,14,30,45,2,14:39,12:49,0:25,1:23,15,0,1,1,0,13,1,0,3,0,28,1,1,4,0,3.3%,0.874,0.764,1.638,0.936,0.811,1.747,0,1.847,1.847,0.213,0.187,0.4,91,17.6%,62,39,26,31,45.61%
283,Tomas Tatar,NJD,31,F,76,15,15,30,22,-22,14:49,12:57,1:51,0:00,13,2,0,1,0,12,3,0,0,0,25,5,0,1,0,16.7%,0.798,0.798,1.597,0.792,0.731,1.523,0.847,1.27,2.117,0.197,0.197,0.395,132,11.4%,75,28,19,31,38.00%
284,Sean Kuraly,CBJ,28,F,77,14,16,30,61,2,15:51,13:18,0:11,2:21,14,0,0,0,0,14,1,1,2,1,28,1,1,2,1,3.3%,0.688,0.787,1.475,0.82,0.82,1.64,0,4.049,4.049,0.182,0.208,0.39,121,11.6%,240,51,627,643,49.37%
285,Calle Järnkrok,CGY,30,F,66,12,18,30,6,-14,16:02,13:01,1:54,1:06,10,2,0,1,0,14,4,0,3,1,24,6,0,4,1,20.0%,0.68,1.02,1.701,0.698,0.977,1.675,0.952,1.904,2.856,0.182,0.273,0.455,101,11.9%,38,17,239,228,51.18%
286,Mathieu Joseph,OTT,24,F,69,12,18,30,29,12,14:11,12:03,0:09,1:59,10,0,2,3,1,16,0,2,2,0,26,0,4,5,1,0.0%,0.735,1.102,1.837,0.721,1.154,1.876,0,0,0,0.174,0.261,0.435,86,14.0%,106,27,20,28,41.67%
287,Scott Laughton,PHI,27,F,67,11,19,30,35,-9,16:25,14:04,0:36,1:44,9,0,2,1,1,18,1,0,3,0,27,1,2,4,1,3.3%,0.6,1.036,1.636,0.573,1.146,1.718,0,1.466,1.466,0.164,0.284,0.448,110,10.0%,151,47,395,379,51.03%
288,Mark Stone,VGK,29,F,37,9,21,30,8,7,18:20,14:59,2:40,0:40,6,3,0,2,0,17,3,1,3,0,23,6,1,5,0,20.0%,0.796,1.856,2.652,0.649,1.839,2.488,1.817,1.817,3.634,0.243,0.568,0.811,71,12.7%,19,24,13,16,44.83%
289,Dougie Hamilton,NJD,28,D,62,9,21,30,34,-19,21:13,18:14,2:29,0:29,7,2,0,1,1,15,6,0,1,0,22,8,0,2,1,26.7%,0.41,0.958,1.368,0.371,0.796,1.167,0.776,2.329,3.106,0.145,0.339,0.484,197,4.6%,87,92,0,0,0.00%
290,Jonas Brodin,MIN,28,D,73,5,25,30,18,9,23:26,19:16,1:36,2:32,4,1,0,1,0,18,6,1,9,2,22,7,1,10,2,23.3%,0.175,0.877,1.052,0.17,0.767,0.938,0.509,3.053,3.561,0.068,0.342,0.411,126,4.0%,42,126,0,0,0.00%
291,Alexandre Carrier,NSH,25,D,77,3,27,30,50,26,20:58,17:07,0:59,2:51,2,1,0,0,0,23,3,1,3,0,25,4,1,3,0,13.3%,0.111,1.003,1.114,0.091,1.047,1.138,0.781,2.343,3.124,0.039,0.351,0.39,95,3.2%,95,124,0,1,0.00%
292,Alex Goligoski,MIN,36,D,72,2,28,30,34,41,18:55,16:34,1:11,1:10,2,0,0,0,0,24,4,0,6,1,26,4,0,6,1,13.3%,0.088,1.233,1.321,0.101,1.207,1.307,0,2.8,2.8,0.028,0.389,0.417,80,2.5%,56,96,0,0,0.00%
293,Isac Lundeström,ANA,22,F,80,16,13,29,8,-3,15:29,13:08,0:26,1:54,12,0,4,3,0,13,0,0,2,0,25,0,4,5,0,0.0%,0.775,0.63,1.405,0.685,0.742,1.427,0,0,0,0.2,0.163,0.363,83,19.3%,38,55,391,488,44.48%
294,Derek Grant,ANA,31,F,71,15,14,29,27,-16,14:18,11:25,0:29,2:24,12,2,1,1,0,13,0,1,1,0,25,2,2,2,0,6.9%,0.886,0.827,1.712,0.888,0.962,1.85,3.478,0,3.478,0.211,0.197,0.408,117,12.8%,69,49,204,216,48.57%
295,Jake Evans,MTL,25,F,72,13,16,29,22,-5,15:35,13:21,0:19,1:55,13,0,0,0,0,15,0,1,2,0,28,0,1,2,0,0.0%,0.695,0.855,1.55,0.811,0.936,1.748,0,0,0,0.181,0.222,0.403,124,10.5%,88,37,461,465,49.78%
296,Jesperi Kotkaniemi,CAR,21,F,66,12,17,29,37,3,12:01,10:48,1:11,0:00,12,0,0,3,0,13,4,0,3,0,25,4,0,6,0,13.8%,0.907,1.285,2.193,1.009,1.093,2.102,0,3.048,3.048,0.182,0.258,0.439,81,14.8%,74,15,176,168,51.16%
297,Marcus Johansson,WSH,31,F,69,9,20,29,4,-26,16:07,13:38,2:28,0:00,6,3,0,2,0,13,7,0,0,0,19,10,0,2,0,34.5%,0.485,1.078,1.564,0.383,0.829,1.211,1.053,2.458,3.511,0.13,0.29,0.42,111,8.1%,31,26,41,57,41.84%
298,Oliver Ekman-Larsson,VAN,30,D,79,5,24,29,52,5,22:19,18:33,1:45,2:00,2,3,0,1,0,17,7,0,3,0,19,10,0,4,0,34.5%,0.17,0.817,0.987,0.082,0.696,0.777,1.302,3.037,4.338,0.063,0.304,0.367,168,3.0%,105,79,0,0,0.00%
299,Patric Hörnqvist,FLA,34,F,65,11,17,28,19,-5,12:40,10:33,2:06,0:00,8,3,0,0,0,13,4,0,3,0,21,7,0,3,0,25.0%,0.801,1.239,2.04,0.7,1.137,1.837,1.31,1.746,3.056,0.169,0.262,0.431,165,6.7%,112,23,8,13,38.10%
300,Dustin Brown,LAK,37,F,64,9,19,28,20,-3,14:44,12:37,2:05,0:01,8,1,0,0,0,17,2,0,6,0,25,3,0,6,0,10.7%,0.572,1.209,1.781,0.594,1.263,1.857,0.448,0.895,1.343,0.141,0.297,0.438,146,6.2%,88,20,2,8,20.00%
301,Teodors Blueger,PIT,27,F,65,9,19,28,10,12,15:01,12:41,0:04,2:14,8,0,1,0,0,18,0,1,0,0,26,0,2,0,0,0.0%,0.553,1.168,1.721,0.582,1.309,1.891,0,0,0,0.138,0.292,0.431,93,9.7%,87,32,357,315,53.13%
302,Brett Pesce,CAR,27,D,70,7,21,28,39,5,21:42,18:26,0:26,2:48,6,1,0,3,1,19,2,0,6,0,25,3,0,9,1,10.7%,0.276,0.829,1.106,0.279,0.883,1.161,1.909,3.818,5.726,0.1,0.3,0.4,148,4.7%,39,99,0,0,0.00%
303,Colton Sissons,NSH,28,F,79,7,21,28,30,2,16:09,12:48,0:26,2:55,6,1,0,0,0,18,3,0,3,0,24,4,0,3,0,14.3%,0.329,0.987,1.316,0.356,1.067,1.423,1.747,5.24,6.987,0.089,0.266,0.354,87,8.1%,188,44,719,573,55.65%
304,Ryan Graves,NJD,26,D,75,6,22,28,24,-9,20:43,18:13,0:03,2:26,6,0,0,0,0,22,0,0,2,1,28,0,0,2,1,0.0%,0.232,0.849,1.081,0.263,0.966,1.229,0,0,0,0.08,0.293,0.373,111,5.4%,90,135,0,0,0.00%
305,Christopher Tanev,CGY,32,D,82,6,22,28,22,35,20:27,17:14,0:14,2:57,6,0,0,3,0,22,0,0,2,0,28,0,0,5,0,0.0%,0.215,0.787,1.002,0.255,0.933,1.188,0,0,0,0.073,0.268,0.341,88,6.8%,52,158,0,0,0.00%
306,Samuel Girard,COL,23,D,67,5,23,28,20,-4,21:38,19:10,1:50,0:38,5,0,0,1,0,16,7,0,3,0,21,7,0,4,0,25.0%,0.207,0.952,1.159,0.234,0.747,0.981,0,3.418,3.418,0.075,0.343,0.418,79,6.3%,65,90,0,0,0.00%
307,Cody Ceci,EDM,28,D,78,5,23,28,14,8,20:53,18:17,0:02,2:34,5,0,0,0,0,20,0,3,1,0,25,0,3,1,0,0.0%,0.184,0.847,1.031,0.21,0.841,1.051,0,0,0,0.064,0.295,0.359,102,4.9%,117,121,0,0,0.00%
308,T.J. Brodie,TOR,31,D,82,4,24,28,34,20,21:18,18:51,0:10,2:16,4,0,0,0,0,21,1,2,5,1,25,1,2,5,1,3.6%,0.137,0.824,0.961,0.155,0.815,0.97,0,4.128,4.128,0.049,0.293,0.341,68,5.9%,53,106,0,0,0.00%
309,Adam Pelech,NYI,27,D,78,3,25,28,42,20,21:16,18:47,0:11,2:18,3,0,0,0,0,23,0,2,6,1,26,0,2,6,1,0.0%,0.108,0.904,1.012,0.123,0.941,1.064,0,0,0,0.038,0.321,0.359,104,2.9%,99,128,0,0,0.00%
310,Michael Rasmussen,DET,22,F,80,15,12,27,66,-25,14:30,12:23,0:53,1:14,15,0,0,2,0,10,2,0,0,0,25,2,0,2,0,7.4%,0.775,0.62,1.395,0.908,0.605,1.513,0,1.695,1.695,0.188,0.15,0.338,128,11.7%,142,65,410,409,50.06%
311,Ondrej Kase,TOR,26,F,50,14,13,27,14,4,13:59,11:50,0:52,1:15,9,4,1,2,0,9,4,0,0,0,18,8,1,2,0,29.6%,1.201,1.116,2.317,0.912,0.912,1.824,5.455,5.455,10.909,0.28,0.26,0.54,119,11.8%,29,32,2,9,18.18%
312,Arthur Kaliyev,LAK,20,F,80,14,13,27,37,-3,12:38,10:42,1:56,0:00,8,6,0,2,0,10,3,0,4,0,18,9,0,6,0,33.3%,0.83,0.771,1.601,0.56,0.7,1.26,2.327,1.163,3.49,0.175,0.163,0.338,194,7.2%,31,12,0,0,0.00%
313,Patrick Maroon,TBL,33,F,81,11,16,27,134,20,12:23,11:05,1:17,0:00,8,3,0,0,0,13,3,0,4,0,21,6,0,4,0,22.2%,0.657,0.956,1.613,0.534,0.868,1.402,1.714,1.714,3.429,0.136,0.198,0.333,102,10.8%,160,11,15,15,50.00%
314,Jordan Greenway,MIN,24,F,62,10,17,27,69,26,14:33,12:46,0:42,1:04,9,1,0,3,0,16,1,0,2,1,25,2,0,5,1,7.4%,0.665,1.13,1.794,0.682,1.213,1.895,1.358,1.358,2.716,0.161,0.274,0.435,110,9.1%,155,31,18,31,36.73%
315,Eric Robinson,CBJ,26,F,67,10,17,27,18,-1,13:53,11:32,0:01,2:19,8,0,2,1,0,17,0,0,0,0,25,0,2,1,0,0.0%,0.645,1.096,1.74,0.621,1.319,1.94,0,0,0,0.149,0.254,0.403,104,9.6%,95,20,2,2,50.00%
316,Rasmus Asplund,BUF,24,F,80,8,19,27,10,-5,14:16,12:31,1:04,0:44,5,2,1,1,1,17,2,0,1,0,22,4,1,2,1,14.8%,0.42,0.998,1.418,0.3,1.018,1.318,1.389,1.389,2.777,0.1,0.238,0.338,130,6.2%,30,14,27,35,43.55%
317,Mathew Dumba,MIN,27,D,57,7,20,27,47,9,23:05,19:19,1:44,2:01,6,1,0,1,0,16,4,0,4,0,22,5,0,5,0,18.5%,0.319,0.912,1.231,0.327,0.871,1.198,0.604,2.417,3.021,0.123,0.351,0.474,116,6.0%,114,84,0,0,0.00%
318,Jeff Petry,MTL,34,D,68,6,21,27,36,-11,22:06,18:04,1:43,2:19,6,0,0,1,0,17,3,1,3,1,23,3,1,4,1,11.1%,0.239,0.838,1.077,0.293,0.83,1.123,0,1.539,1.539,0.088,0.309,0.397,124,4.8%,140,117,0,0,0.00%
319,Hampus Lindholm,BOS,27,D,71,5,22,27,46,10,22:30,19:30,0:57,2:01,4,1,0,1,0,17,4,1,4,2,21,5,1,5,2,18.5%,0.188,0.826,1.014,0.173,0.736,0.91,0.876,3.505,4.381,0.07,0.31,0.38,142,3.5%,70,92,0,0,0.00%
320,Chris Wideman,MTL,31,D,64,4,23,27,67,-25,14:52,12:20,2:29,0:02,4,0,0,1,0,11,12,0,2,0,15,12,0,3,0,44.4%,0.252,1.449,1.702,0.304,0.835,1.139,0,4.53,4.53,0.063,0.359,0.422,76,5.3%,44,46,0,0,0.00%
321,Sean Durzi,LAK,23,D,64,3,24,27,55,-9,19:35,15:52,2:28,1:15,1,2,0,0,0,10,13,1,3,1,11,15,1,3,1,55.6%,0.144,1.148,1.292,0.059,0.591,0.65,0.758,4.925,5.683,0.047,0.375,0.422,119,2.5%,74,121,0,0,0.00%
322,Nick Bonino,SJS,33,F,80,16,10,26,18,-25,16:41,13:14,1:50,1:36,12,3,1,0,0,6,4,0,1,0,18,7,1,1,0,26.9%,0.719,0.449,1.168,0.68,0.34,1.019,1.218,1.624,2.842,0.2,0.125,0.325,137,11.7%,34,102,475,450,51.35%
323,Garnet Hathaway,WSH,30,F,76,14,12,26,57,19,13:23,12:04,0:09,1:09,14,0,0,4,0,11,0,1,2,0,25,0,1,6,0,0.0%,0.826,0.708,1.533,0.915,0.719,1.635,0,0,0,0.184,0.158,0.342,124,11.3%,250,62,10,18,35.71%
324,Vasili Podkolzin,VAN,20,F,79,14,12,26,26,7,12:47,12:04,0:38,0:04,12,2,0,3,0,11,1,0,2,0,23,3,0,5,0,11.5%,0.831,0.712,1.544,0.755,0.692,1.447,2.347,1.173,3.52,0.177,0.152,0.329,115,12.2%,84,33,8,11,42.11%
325,Oskar Lindblom,PHI,25,F,79,12,14,26,22,-11,13:47,12:25,0:34,0:48,12,0,0,1,0,13,1,0,0,0,25,1,0,1,0,3.8%,0.66,0.771,1.431,0.734,0.795,1.529,0,1.325,1.325,0.152,0.177,0.329,127,9.5%,83,48,8,14,36.36%
326,Warren Foegele,EDM,25,F,82,12,14,26,24,-9,12:36,11:54,0:32,0:09,10,2,0,3,0,13,1,0,2,0,23,3,0,5,0,11.5%,0.696,0.812,1.508,0.615,0.799,1.414,2.663,1.331,3.994,0.146,0.171,0.317,142,8.5%,127,15,13,15,46.43%
327,David Kämpf,TOR,26,F,82,11,15,26,20,12,15:15,12:42,0:04,2:29,9,0,2,1,0,13,0,2,2,0,22,0,4,3,0,0.0%,0.527,0.719,1.246,0.518,0.749,1.267,0,0,0,0.134,0.183,0.317,102,10.8%,80,26,616,549,52.88%
328,Kirby Dach,CHI,20,F,70,9,17,26,43,-18,18:02,15:00,1:55,1:06,7,2,0,0,0,12,4,1,3,1,19,6,1,3,1,23.1%,0.428,0.808,1.236,0.4,0.685,1.085,0.894,1.789,2.683,0.129,0.243,0.371,116,7.8%,49,44,179,366,32.84%
329,Ben Chiarot,FLA,30,D,74,9,17,26,48,-14,22:50,18:54,0:58,2:57,7,2,0,1,1,15,1,1,2,0,22,3,1,3,1,11.5%,0.319,0.603,0.923,0.3,0.643,0.944,1.653,0.826,2.479,0.122,0.23,0.351,143,6.3%,157,130,0,0,0.00%
330,Eetu Luostarinen,FLA,23,F,78,9,17,26,12,1,13:25,11:27,0:05,1:53,7,0,2,4,1,15,1,1,0,0,22,1,3,4,1,3.8%,0.515,0.974,1.489,0.47,1.008,1.478,0,8.2,8.2,0.115,0.218,0.333,84,10.7%,103,46,321,481,40.02%
331,Ryan McDonagh,TBL,32,D,71,4,22,26,16,15,22:26,18:49,0:21,3:15,4,0,0,0,0,21,1,0,4,0,25,1,0,4,0,3.8%,0.151,0.828,0.979,0.18,0.942,1.122,0,2.332,2.332,0.056,0.31,0.366,85,4.7%,96,137,0,1,0.00%
332,Jack Eichel,VGK,25,F,34,14,11,25,10,3,19:23,16:24,2:56,0:02,11,3,0,2,0,6,5,0,1,0,17,8,0,3,0,32.0%,1.274,1.001,2.275,1.184,0.646,1.829,1.795,2.992,4.786,0.412,0.324,0.735,133,10.5%,45,35,184,195,48.55%
333,Vince Hinostroza,BUF,27,F,62,13,12,25,24,-11,13:52,13:18,0:10,0:24,12,1,0,2,0,12,0,0,2,0,24,1,0,4,0,4.0%,0.907,0.837,1.744,0.872,0.872,1.745,5.341,0,5.341,0.21,0.194,0.403,92,14.1%,25,13,12,16,42.86%
334,Jason Spezza,TOR,38,F,71,12,13,25,26,-3,10:44,9:10,1:24,0:09,9,3,0,1,0,6,7,0,2,0,15,10,0,3,0,40.0%,0.944,1.022,1.966,0.828,0.552,1.381,1.798,4.194,5.992,0.169,0.183,0.352,97,12.4%,31,24,305,272,52.86%
335,T.J. Oshie,WSH,35,F,44,11,14,25,18,-12,17:27,13:38,3:29,0:19,7,4,0,1,0,7,6,1,2,0,14,10,1,3,0,40.0%,0.86,1.094,1.954,0.7,0.7,1.4,1.565,2.348,3.913,0.25,0.318,0.568,77,14.3%,86,30,72,97,42.60%
336,Mattias Janmark-Nylén,VGK,29,F,67,9,16,25,21,3,14:20,12:37,0:31,1:10,7,0,2,1,0,15,0,1,3,0,22,0,3,4,0,0.0%,0.562,0.999,1.561,0.496,1.064,1.56,0,0,0,0.134,0.239,0.373,89,10.1%,19,28,11,16,40.74%
337,Erik Johnson,COL,33,D,77,8,17,25,24,22,17:16,14:26,0:13,2:36,7,0,1,1,0,15,1,1,1,0,22,1,2,2,0,4.0%,0.361,0.767,1.127,0.378,0.809,1.186,0,3.355,3.355,0.104,0.221,0.325,139,5.8%,165,136,0,0,0.00%
338,Adam Larsson,SEA,29,D,82,8,17,25,55,-23,22:16,19:37,0:06,2:32,8,0,0,3,1,16,1,0,0,0,24,1,0,3,1,4.0%,0.263,0.558,0.821,0.298,0.596,0.895,0,6.936,6.936,0.098,0.207,0.305,119,6.7%,183,140,0,0,0.00%
339,Jake Bean,CBJ,23,D,67,7,18,25,26,-5,20:34,18:22,1:06,1:05,7,0,0,2,2,13,4,1,4,0,20,4,1,6,2,16.0%,0.305,0.784,1.088,0.341,0.634,0.975,0,3.209,3.209,0.104,0.269,0.373,90,7.8%,41,71,0,0,0.00%
340,Esa Lindell,DAL,27,D,76,4,21,25,12,4,22:02,18:58,0:26,2:37,3,0,1,0,0,16,3,2,4,0,19,3,3,4,0,12.0%,0.143,0.752,0.895,0.125,0.666,0.79,0,5.452,5.452,0.053,0.276,0.329,136,2.9%,111,148,0,1,0.00%
341,John Marino,PIT,24,D,81,1,24,25,23,1,20:38,17:20,0:55,2:21,1,0,0,0,0,20,2,2,3,1,21,2,2,3,1,8.0%,0.036,0.861,0.897,0.043,0.854,0.897,0,1.589,1.589,0.012,0.296,0.309,90,1.1%,73,88,0,0,0.00%
342,Yakov Trenin,NSH,24,F,80,17,7,24,46,7,14:40,12:49,0:10,1:40,17,0,0,2,0,7,0,0,0,0,24,0,0,2,0,0.0%,0.869,0.358,1.227,0.994,0.409,1.404,0,0,0,0.213,0.088,0.3,136,12.5%,191,33,12,23,34.29%
343,Oliver Wahlstrom,NYI,21,F,73,13,11,24,74,-6,12:03,10:35,1:28,0:00,8,5,0,2,0,8,3,0,1,0,16,8,0,3,0,33.3%,0.886,0.75,1.636,0.621,0.621,1.242,2.788,1.673,4.461,0.178,0.151,0.329,157,8.3%,101,19,6,8,42.86%
344,Barrett Hayton,ARI,21,F,60,10,14,24,20,-8,16:07,13:06,1:32,1:27,8,2,0,1,0,11,3,0,3,1,19,5,0,4,1,20.8%,0.62,0.869,1.489,0.61,0.839,1.449,1.3,1.95,3.25,0.167,0.233,0.4,82,12.2%,84,33,415,447,48.14%
345,Nic Dowd,WSH,31,F,64,10,14,24,44,10,14:15,12:14,0:04,1:56,9,0,1,0,0,13,1,0,2,0,22,1,1,2,0,4.2%,0.657,0.92,1.578,0.689,0.995,1.684,0,12.811,12.811,0.156,0.219,0.375,90,11.1%,139,53,506,437,53.66%
346,Blake Lizotte,LAK,24,F,70,10,14,24,28,15,12:09,10:56,0:07,1:05,9,0,1,2,0,12,0,2,2,0,21,0,3,4,0,0.0%,0.705,0.987,1.691,0.705,0.94,1.644,0,0,0,0.143,0.2,0.343,91,11.0%,74,12,313,294,51.57%
347,Filip Zadina,DET,22,F,74,10,14,24,10,-24,14:10,12:20,1:50,0:00,6,4,0,1,0,10,4,0,2,1,16,8,0,3,1,33.3%,0.572,0.801,1.373,0.394,0.657,1.051,1.769,1.769,3.538,0.135,0.189,0.324,154,6.5%,57,34,5,5,50.00%
348,Tyler Ennis,OTT,32,F,57,8,16,24,16,-6,12:32,10:54,1:38,0:00,7,1,0,1,0,13,3,0,1,0,20,4,0,2,0,16.7%,0.671,1.343,2.014,0.676,1.255,1.931,0.642,1.927,2.569,0.14,0.281,0.421,89,9.0%,70,24,20,9,68.97%
349,Logan O'Connor,COL,25,F,81,8,16,24,38,10,13:52,11:44,0:01,2:06,7,0,1,1,0,13,0,3,2,0,20,0,4,3,0,0.0%,0.427,0.854,1.282,0.442,0.82,1.262,0,0,0,0.099,0.198,0.296,127,6.3%,100,59,5,17,22.73%
350,Brendan Gallagher,MTL,29,F,56,7,17,24,69,-7,15:01,12:36,2:22,0:02,2,5,0,0,0,15,2,0,1,0,17,7,0,1,0,29.2%,0.499,1.213,1.712,0.17,1.275,1.445,2.253,0.901,3.154,0.125,0.304,0.429,142,4.9%,54,29,13,22,37.14%
351,Keegan Kolesar,VGK,24,F,77,7,17,24,68,-6,12:39,11:37,0:28,0:33,5,1,1,0,0,17,0,0,2,0,22,1,1,2,0,4.2%,0.431,1.047,1.478,0.335,1.14,1.475,1.619,0,1.619,0.091,0.221,0.312,94,7.5%,246,46,76,112,40.43%
352,Dmitri Kulikov,MIN,31,D,80,7,17,24,39,23,18:11,16:05,0:09,1:56,7,0,0,2,1,17,0,0,3,0,24,0,0,5,1,0.0%,0.289,0.701,0.989,0.326,0.792,1.118,0,0,0,0.088,0.213,0.3,74,9.5%,100,103,0,0,0.00%
353,Matt Grzelcyk,BOS,27,D,73,4,20,24,24,22,18:42,17:08,1:24,0:10,4,0,0,2,1,15,5,0,2,0,19,5,0,4,1,20.8%,0.176,0.878,1.054,0.192,0.719,0.911,0,2.907,2.907,0.055,0.274,0.329,118,3.4%,40,83,0,0,0.00%
354,Dante Fabbro,NSH,23,D,66,3,21,24,24,13,19:02,17:55,0:08,0:58,3,0,0,0,0,21,0,0,4,0,24,0,0,4,0,0.0%,0.143,1.002,1.146,0.152,1.065,1.217,0,0,0,0.045,0.318,0.364,88,3.4%,69,105,0,0,0.00%
355,Nick Leddy,STL,30,D,75,3,21,24,22,-30,21:24,19:14,1:49,0:21,3,0,0,0,0,15,6,0,3,1,18,6,0,3,1,25.0%,0.112,0.785,0.897,0.125,0.624,0.749,0,2.633,2.633,0.04,0.28,0.32,71,4.2%,37,67,0,0,0.00%
356,Nick Ritchie,ARI,26,F,57,12,11,23,43,-13,12:42,11:12,1:29,0:00,11,1,0,0,0,8,3,0,1,0,19,4,0,1,0,17.4%,0.994,0.912,1.906,1.033,0.752,1.785,0.709,2.126,2.834,0.211,0.193,0.404,93,12.9%,153,22,0,4,0.00%
357,Rudolfs Balcers,SJS,24,F,61,11,12,23,20,-3,15:02,13:39,0:14,1:08,11,0,0,1,0,11,0,1,2,0,22,0,1,3,0,0.0%,0.72,0.785,1.504,0.792,0.792,1.585,0,0,0,0.18,0.197,0.377,98,11.2%,115,43,8,12,40.00%
358,Nicolas Aube-Kubel,COL,25,F,74,11,12,23,47,11,9:48,9:45,0:01,0:02,11,0,0,2,0,12,0,0,1,0,23,0,0,3,0,0.0%,0.909,0.991,1.9,0.915,0.998,1.912,0,0,0,0.149,0.162,0.311,87,12.6%,140,18,3,9,25.00%
359,Eeli Tolvanen,NSH,22,F,75,11,12,23,16,-7,13:25,11:34,1:48,0:02,10,1,0,1,0,7,5,0,1,0,17,6,0,2,0,26.1%,0.655,0.715,1.37,0.691,0.484,1.175,0.444,2.221,2.666,0.147,0.16,0.307,151,7.3%,176,45,0,1,0.00%
360,Jesper Boqvist,NJD,23,F,56,10,13,23,10,-9,13:07,12:28,0:29,0:10,10,0,0,1,0,12,1,0,1,0,22,1,0,2,0,4.3%,0.816,1.061,1.877,0.859,1.031,1.89,0,2.171,2.171,0.179,0.232,0.411,74,13.5%,31,16,168,282,37.33%
361,Anthony Mantha,WSH,27,F,37,9,14,23,14,4,15:10,13:16,1:52,0:00,9,0,0,0,0,12,2,0,0,0,21,2,0,0,0,8.7%,0.962,1.497,2.459,1.099,1.465,2.564,0,1.73,1.73,0.243,0.378,0.622,82,11.0%,46,18,3,1,75.00%
